MHT_NUM,MHT,UnitNum,length_m,width_m,tot_area_m2,rkm.up,Comments
RRLSSP_001,RRLSSP,1,112.8,91.4,10309.92,378.2373,Top of Keno Dam
RRLSSP_002,RRLSSP,2,84.7,23.5,1990.45,378.1245,
RRLSSP_003,RRLSSP,3,54.9,21.6,1185.84,378.0398,
RRLSSP_004,RRLSSP,4,24.7,14.6,360.62,377.9849,Plunge
RRLSSP_005,RRLSSP,5,98.5,30.8,3033.8,377.9602,
RRLSSP_006,RRLSSP,6,47.9,33.2,1590.28,377.8617,
RRLSSP_007,RRLSSP,7,109.7,32,3510.4,377.8138,Diagonal Control
RRLSMA_008,RRLSMA,8,71.6,27.7,1983.32,377.7041,
SELSSC_009,SELSSC,9,35.1,22.6,793.26,377.6325,Good Velocity
SELSSC_010,SELSSC,10,29.3,28,820.4,377.5974,
SELSSC_011,SELSSC,11,22.6,23.5,531.1,377.5681,Good Velocity
RRLSMA_012,RRLSMA,12,52.7,17.7,932.79,377.5455,
RRMSMA_013,RRMSMA,13,59.7,17.4,1038.78,377.4928,Good Velocity at top
SELSSC_014,SELSSC,14,62.2,22.9,1424.38,377.4331,med/lg boulders mid channel
RRLSMA_015,RRLSMA,15,90.2,22.9,2065.58,377.3709,Spawning hab
RRLSMA_016,RRLSMA,16,33.2,28.7,952.84,377.2807,med/lg boulders mid channel
SELSSC_017,SELSSC,17,52.7,45.7,2408.39,377.2475,SPISL at bottom
SPISL01B_018,SPISL01B,18,270.4,,,377.1948,
RRLSMA_019,RRLSMA,19,42.7,37.8,1614.06,376.9244,
RRLSMA_020,RRLSMA,20,35.4,36.6,1295.64,376.8817,Some spawn hab RBLDS and scour along RB some med boulders
SELSSC_021,SELSSC,21,36.3,28.3,1027.29,376.8463, LB LDS scour
SEPOSC_022,SEPOSC,22,44.5,31.1,1383.95,376.81,some spawn hab and boulder scour
SEPOMASC_023,SEPOMASC,23,30.5,28,854,376.7655,boulders mid channel diagonal control at top and bottom spawn hab 
RRMSMA_024,RRMSMA,24,54.6,38.4,2096.64,376.735,Boulder SCISL at bottom
SCISL01B_025,SCISL01B,25,38.4,,,376.6804,
